cityname,i_o_length,prediction_horizon,grid_size,time_stamp,IC_temp
london,4,1,55,1940,3576.0
london,4,1,55,290,7465.0
london,4,1,55,4142,0
london,4,1,55,1784,0
london,4,1,55,5784,0
london,4,1,55,8306,0
london,4,1,55,2752,0
london,4,1,55,8955,6696.0
london,4,1,55,7891,0
london,4,1,55,7354,0
london,4,1,55,32,6084.0
london,4,1,55,4852,0
london,4,1,55,240,0
london,4,1,55,1763,0
london,4,1,55,7711,2714.0
london,4,1,55,5680,1430.0
london,4,1,55,110,0
london,4,1,55,1920,7364.0
london,4,1,55,695,6987.0
london,4,1,55,589,13668.0
london,4,1,55,6745,0
london,4,1,55,7237,14077.0
london,4,1,55,8105,0
london,4,1,55,231,5302.0
london,4,1,55,8294,51371.0
london,4,1,55,4750,1321.0
london,4,1,55,3544,0
london,4,1,55,6036,3048.0
london,4,1,55,5767,1415.0
london,4,1,55,4978,0
london,4,1,55,6489,0
london,4,1,55,4631,0
london,4,1,55,8032,0
london,4,1,55,8348,3892.0
london,4,1,55,5241,0
london,4,1,55,4704,0
london,4,1,55,4533,0
london,4,1,55,5658,0
london,4,1,55,8152,23058.0
london,4,1,55,3393,0
london,4,1,55,8644,30067.0
london,4,1,55,2723,20095.0
london,4,1,55,6517,1853.0
london,4,1,55,5497,0
london,4,1,55,3541,0
london,4,1,55,8206,2680.0
london,4,1,55,5236,0
london,4,1,55,2994,0
london,4,1,55,4912,33662.0
london,4,1,55,2303,0
london,4,1,55,385,0
london,4,1,55,7219,0
london,4,1,55,7687,0
london,4,1,55,7850,0
london,4,1,55,1497,35552.0
london,4,1,55,3302,14757.0
london,4,1,55,2897,0
london,4,1,55,6379,51326.0
london,4,1,55,2805,0
london,4,1,55,6081,25672.0
london,4,1,55,4583,0
london,4,1,55,4845,0
london,4,1,55,5098,24218.0
london,4,1,55,3233,5793.0
london,4,1,55,5470,0
london,4,1,55,829,5214.0
london,4,1,55,4177,3284.0
london,4,1,55,2380,27768.0
london,4,1,55,5569,15003.0
london,4,1,55,1152,7078.0
london,4,1,55,384,0
london,4,1,55,5243,0
london,4,1,55,3338,0
london,4,1,55,4858,0
london,4,1,55,1768,0
london,4,1,55,4577,0
london,4,1,55,1881,5191.0
london,4,1,55,3647,15256.0
london,4,1,55,4473,0
london,4,1,55,3727,0
london,4,1,55,8462,0
london,4,1,55,1444,5776.0
london,4,1,55,8257,0
london,4,1,55,303,3102.0
london,4,1,55,1703,0
london,4,1,55,7893,0
london,4,1,55,1045,99712.0
london,4,1,55,2849,69754.0
london,4,1,55,3941,0
london,4,1,55,7879,6569.0
london,4,1,55,8316,0
london,4,1,55,7267,0
london,4,1,55,3296,0
london,4,1,55,1034,125268.0
london,4,1,55,4334,0
london,4,1,55,7198,37611.0
london,4,1,55,1064,14664.0
london,4,1,55,6152,1127.0
london,4,1,55,3651,13427.0
london,4,1,55,5256,0
london,4,1,55,4154,0
london,4,1,55,4531,0
london,4,1,55,7273,0
london,4,1,55,2463,21469.0
london,4,1,55,3245,16880.0
london,4,1,55,5133,0
london,4,1,55,2414,7132.0
london,4,1,55,6103,0
london,4,1,55,876,79894.0
london,4,1,55,3667,15826.0
london,4,1,55,1873,0
london,4,1,55,7021,0
london,4,1,55,8607,1031.0
london,4,1,55,3410,0
london,4,1,55,5403,0
london,4,1,55,2922,0
london,4,1,55,2572,15529.0
london,4,1,55,6550,0
london,4,1,55,5643,0
london,4,1,55,8500,0
london,4,1,55,4118,0
london,4,1,55,5142,12360.0
london,4,1,55,3213,0
london,4,1,55,3192,0
london,4,1,55,1026,24964.0
london,4,1,55,3402,0
london,4,1,55,1492,0
london,4,1,55,3681,8602.0
london,4,1,55,6153,1127.0
london,4,1,55,1608,36714.0
london,4,1,55,2447,19829.0
london,4,1,55,2283,0
london,4,1,55,2417,0
london,4,1,55,2182,3634.0
london,4,1,55,2925,1783.0
london,4,1,55,5007,0
london,4,1,55,3493,29834.0
