cityname,i_o_length,prediction_horizon,grid_size,thresh,cx_sample_whole_data,cx_sample_single_point,CSR_PM_frac,CSR_PM_count,CSR_PM_no_thresh_median,CSR_PM_no_thresh_mean,,
london,4,4,55,1100,800,40,0.165,132,NULL,NULL,NULL,NULL
london,4,4,55,1300,800,40,0.3975,318,NULL,NULL,NULL,NULL
london,4,4,55,1500,800,40,0.66625,533,NULL,NULL,NULL,NULL
london,4,4,55,2000,800,40,0.845,676,NULL,NULL,NULL,NULL
london,4,4,55,2500,800,40,0.90375,723,NULL,NULL,NULL,NULL
london,4,4,55,3000,800,40,0.92625,741,NULL,NULL,NULL,NULL
london,4,4,55,3500,800,40,0.90375,723,NULL,NULL,NULL,NULL
london,4,5,55,100,800,40,0.01125,9,NULL,NULL,NULL,NULL
london,4,5,55,200,800,40,0.0175,14,NULL,NULL,NULL,NULL
london,4,5,55,400,800,40,0.02625,21,NULL,NULL,NULL,NULL
london,4,5,55,600,800,40,0.04125,33,NULL,NULL,NULL,NULL
london,4,5,55,800,800,40,0.0625,50,NULL,NULL,NULL,NULL
london,4,5,55,1100,800,40,0.17375,139,NULL,NULL,NULL,NULL
london,4,5,55,1300,800,40,0.3775,302,NULL,NULL,NULL,NULL
london,4,5,55,1500,800,40,0.6325,506,NULL,NULL,NULL,NULL
london,4,5,55,2000,800,40,0.86875,695,NULL,NULL,NULL,NULL
london,4,5,55,2500,800,40,0.92,736,NULL,NULL,NULL,NULL
london,4,5,55,3000,800,40,0.92375,739,NULL,NULL,NULL,NULL
london,4,5,55,3500,800,40,0.90625,725,NULL,NULL,NULL,NULL
london,4,6,55,100,800,40,0.005,4,NULL,NULL,NULL,NULL
london,4,6,55,200,800,40,0.00625,5,NULL,NULL,NULL,NULL
london,4,6,55,400,800,40,0.02375,19,NULL,NULL,NULL,NULL
